tileSize,tileCount,campaignIndex,replicateIndex,seed,bytesPerInvocation,timedTotalBytes,repeatCount,trialIndex,executionOrder,indexedMs,feedbackMs,pairedDeltaMs,pairedRatio
16,16,1,3,10103,12288,8392704,683,10,feedback-first,0.0231698389458272,0.026305710102489,0.00313587115666179,1.13534281200632
16,64,1,1,10201,49152,8404992,171,1,indexed-first,0.0889584795321637,0.088866081871345,-9.23976608186994e-05,0.998961339477646
16,64,1,1,10201,49152,8404992,171,2,feedback-first,0.0905836257309941,0.0934450292397661,0.00286140350877194,1.03158852922568
16,64,1,1,10201,49152,8404992,171,3,indexed-first,0.0904614035087719,0.0893368421052632,-0.00112456140350878,0.987568605395342
16,64,1,1,10201,49152,8404992,171,4,feedback-first,0.0918286549707602,0.0901292397660819,-0.00169941520467835,0.981493628484273
16,64,1,1,10201,49152,8404992,171,5,indexed-first,0.0909380116959064,0.0895918128654971,-0.00134619883040936,0.985196522275954
16,64,1,1,10201,49152,8404992,171,6,feedback-first,0.0902280701754386,0.0902736842105263,4.56140350877099e-05,1.00050554151274
16,64,1,1,10201,49152,8404992,171,7,indexed-first,0.0908461988304094,0.0891836257309942,-0.0016625730994152,0.981699035063439
16,64,1,1,10201,49152,8404992,171,8,feedback-first,0.0927719298245614,0.0900391812865497,-0.0027327485380117,0.970543368633384
16,64,1,1,10201,49152,8404992,171,9,indexed-first,0.0904918128654971,0.0894479532163743,-0.00104385964912281,0.988464595679232
16,64,1,1,10201,49152,8404992,171,10,feedback-first,0.0909584795321638,0.0905801169590643,-0.000378362573099422,0.99584027157176
16,64,1,2,10202,49152,8404992,171,1,indexed-first,0.0917953216374269,0.0909497076023392,-0.000845614035087733,0.990788048671721
16,64,1,2,10202,49152,8404992,171,2,feedback-first,0.0922976608187134,0.0917795321637427,-0.000518128654970751,0.994386329508519
16,64,1,2,10202,49152,8404992,171,3,indexed-first,0.0931152046783626,0.0919877192982456,-0.00112748538011696,0.987891500813304
16,64,1,2,10202,49152,8404992,171,4,feedback-first,0.0918350877192983,0.088712865497076,-0.00312222222222223,0.96600185942256
16,64,1,2,10202,49152,8404992,171,5,indexed-first,0.0922286549707602,0.0902409356725146,-0.00198771929824562,0.978447920563562
16,64,1,2,10202,49152,8404992,171,6,feedback-first,0.0936491228070175,0.0911760233918129,-0.00247309941520467,0.973591857125016
16,64,1,2,10202,49152,8404992,171,7,indexed-first,0.0902304093567251,0.088974269005848,-0.00125614035087719,0.986078525412524
16,64,1,2,10202,49152,8404992,171,8,feedback-first,0.0895140350877193,0.0885760233918129,-0.000938011695906432,0.989521065663198
16,64,1,2,10202,49152,8404992,171,9,indexed-first,0.0954052631578947,0.0891695906432748,-0.00623567251461989,0.934640162311592
16,64,1,2,10202,49152,8404992,171,10,feedback-first,0.0893169590643275,0.088319298245614,-0.000997660818713456,0.988830107639525
16,64,1,3,10203,49152,8404992,171,1,indexed-first,0.0911929824561404,0.0885052631578947,-0.00268771929824561,0.970527125817622
16,64,1,3,10203,49152,8404992,171,2,feedback-first,0.0889017543859649,0.088580701754386,-0.000321052631578958,0.996388680585705
16,64,1,3,10203,49152,8404992,171,3,indexed-first,0.0978654970760234,0.090587134502924,-0.00727836257309943,0.925628921422169
16,64,1,3,10203,49152,8404992,171,4,feedback-first,0.0929754385964912,0.0899619883040936,-0.00301345029239768,0.96758874883639
16,64,1,3,10203,49152,8404992,171,5,indexed-first,0.0899444444444444,0.0889830409356725,-0.000961403508771927,0.989311140730145
16,64,1,3,10203,49152,8404992,171,6,feedback-first,0.0900643274853801,0.0890409356725146,-0.0010233918128655,0.988637101486916
16,64,1,3,10203,49152,8404992,171,7,indexed-first,0.0902643274853801,0.0888479532163743,-0.00141637426900584,0.984308593345081
16,64,1,3,10203,49152,8404992,171,8,feedback-first,0.0906304093567252,0.0888754385964912,-0.00175497076023394,0.980635961233207
16,64,1,3,10203,49152,8404992,171,9,indexed-first,0.0936350877192983,0.0901637426900585,-0.00347134502923978,0.96292687801344
16,64,1,3,10203,49152,8404992,171,10,feedback-first,0.0899497076023392,0.0893116959064328,-0.000638011695906424,0.992907017566672
16,256,1,1,10301,196608,8454144,43,1,indexed-first,0.364725581395349,0.38103488372093,0.0163093023255813,1.04471663946133
16,256,1,1,10301,196608,8454144,43,2,feedback-first,0.361881395348837,0.360341860465116,-0.00153953488372094,0.995745747353945
16,256,1,1,10301,196608,8454144,43,3,indexed-first,0.363846511627907,0.360458139534884,-0.00338837209302323,0.990687358584632
16,256,1,1,10301,196608,8454144,43,4,feedback-first,0.35726976744186,0.354741860465116,-0.00252790697674415,0.992924374780311
16,256,1,1,10301,196608,8454144,43,5,indexed-first,0.373448837209302,0.354851162790698,-0.0185976744186047,0.950200207992129
16,256,1,1,10301,196608,8454144,43,6,feedback-first,0.361679069767442,0.352037209302326,-0.00964186046511634,0.973341392214606
16,256,1,1,10301,196608,8454144,43,7,indexed-first,0.361344186046512,0.360883720930233,-0.000460465116279007,0.998725688321384
16,256,1,1,10301,196608,8454144,43,8,feedback-first,0.359832558139535,0.356783720930233,-0.00304883720930232,0.9915270668528
16,256,1,1,10301,196608,8454144,43,9,indexed-first,0.358948837209302,0.356390697674419,-0.00255813953488376,0.992873247466763
16,256,1,1,10301,196608,8454144,43,10,feedback-first,0.358860465116279,0.35666511627907,-0.00219534883720934,0.993882444430043
16,256,1,2,10302,196608,8454144,43,1,indexed-first,0.360725581395349,0.35366511627907,-0.00706046511627906,0.980427046263345
16,256,1,2,10302,196608,8454144,43,2,feedback-first,0.357237209302326,0.348960465116279,-0.00827674418604657,0.976831237142931
16,256,1,2,10302,196608,8454144,43,3,indexed-first,0.35573023255814,0.352453488372093,-0.00327674418604651,0.990788682304333
16,256,1,2,10302,196608,8454144,43,4,feedback-first,0.357772093023256,0.353325581395349,-0.00444651162790699,0.98757166443494
16,256,1,2,10302,196608,8454144,43,5,indexed-first,0.379311627906977,0.353018604651163,-0.0262930232558139,0.930682264076908
16,256,1,2,10302,196608,8454144,43,6,feedback-first,0.355809302325581,0.361288372093023,0.00547906976744178,1.01539889410319
16,256,1,2,10302,196608,8454144,43,7,indexed-first,0.352120930232558,0.349093023255814,-0.00302790697674427,0.991400945763876
16,256,1,2,10302,196608,8454144,43,8,feedback-first,0.355593023255814,0.348188372093023,-0.00740465116279065,0.979176612929597
16,256,1,2,10302,196608,8454144,43,9,indexed-first,0.359076744186047,0.358553488372093,-0.000523255813953516,0.998542774427958
16,256,1,2,10302,196608,8454144,43,10,feedback-first,0.363939534883721,0.359444186046512,-0.00449534883720931,0.987648088744616
16,256,1,3,10303,196608,8454144,43,1,indexed-first,0.35923023255814,0.357604651162791,-0.0016255813953488,0.995474820190459
16,256,1,3,10303,196608,8454144,43,2,feedback-first,0.370172093023256,0.38423488372093,0.0140627906976744,1.03798987271791
16,256,1,3,10303,196608,8454144,43,3,indexed-first,0.35746511627907,0.353827906976744,-0.00363720930232553,0.989824995120682
16,256,1,3,10303,196608,8454144,43,4,feedback-first,0.357155813953488,0.354725581395349,-0.00243023255813951,0.993195595694668
16,256,1,3,10303,196608,8454144,43,5,indexed-first,0.359306976744186,0.35343488372093,-0.00587209302325581,0.983657169486479
16,256,1,3,10303,196608,8454144,43,6,feedback-first,0.36903488372093,0.354025581395349,-0.0150093023255814,0.959328228881117
16,256,1,3,10303,196608,8454144,43,7,indexed-first,0.363037209302326,0.45963488372093,0.0965976744186046,1.26608202119073
16,256,1,3,10303,196608,8454144,43,8,feedback-first,0.441804651162791,0.415353488372093,-0.0264511627906976,0.940129279487935
